FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
UT_LVL_30_CD_INTENT_NEW_CLOUD_PAK_AUTOMATION,1.7,2.1,-1.2,3.5,0.1,Tentative,LAST TOUCH UT,CAT,1%,0%,0%,0%,-1%,0%,0%,1%,DROP
UT_LVL_30_CD_INTENT_NEW_CLOUD_PAK_SEC,1.8,1.9,1.0,3.0,0,Tentative,LAST TOUCH UT,CAT,-1%,0%,0%,0%,-1%,0%,1%,1%,DROP
ALL_OTHER_UT20_15PHW_COMP_YIELD_C,1.5,1.6,0.3,2.3,0,Tentative,PIPE COMP,1,-1%,-2%,3%,1%,0%,-1%,-2%,3%,DROP
UT_LVL_20_CD_INTENT_NEW_DATA_AI_PLTF,0.6,0.5,-0.9,2.8,0,Tentative,LAST TOUCH UT,CAT,2%,0%,-1%,-1%,0%,0%,0%,2%,DROP
UT_LVL_20_CD_INTENT_NEW_MOBILE_SEC,0.2,0.2,-3.6,2.5,0,Tentative,LAST TOUCH UT,CAT,-1%,-1%,-1%,-1%,0%,0%,4%,4%,KEEP
UT_LVL_10_CD_INTENT_NEW_10T00,-1.4,-1.2,-2.4,-0.5,0,Tentative,LAST TOUCH UT,CAT,0%,0%,0%,0%,0%,0%,0%,0%,DROP
UT_LVL_10_CD_INTENT_NEW_10H00,-1.3,-1.2,-2.4,-0.3,0,Tentative,LAST TOUCH UT,CAT,0%,0%,0%,0%,0%,0%,0%,0%,DROP
CHANNEL_NAME_NULL,-1.7,-1.6,-2.6,-1.2,0,Tentative,CHANNEL NAME / TYPE,CAT,0%,0%,0%,0%,0%,0%,0%,0%,DROP
UT_LVL_10_CD_INTENT_NEW_10L00,-1.5,-1.8,-3.2,1.1,0,Tentative,LAST TOUCH UT,CAT,-1%,-1%,-1%,1%,0%,8%,-1%,8%,KEEP
CHANNEL_TYPE_EPEOS,-2.2,-2.0,-3.9,-0.9,0,Tentative,CHANNEL NAME / TYPE,CAT,0%,0%,0%,0%,0%,0%,0%,0%,DROP
