FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
SYSTEMS_10C00_WON_LEAD_COMP_SUM_C,22.3,22.5,18.7,24.8,1,Tentative,PIPE COMP,4,-4%,-5%,9%,3%,3%,-2%,-7%,9%,KEEP
DATAOPS_20A0N_LEAD_COMP_SUM_C,22.4,22.5,21.5,23.1,1,Tentative,PIPE COMP,2,5%,-3%,-4%,4%,1%,-1%,-4%,5%,DROP
OI_MARKETING_LEAD_INDIV_SUM_I_FLG,22.3,22.4,21.0,23.4,1,Confirmed,FLG,FLG,7%,4%,-1%,-8%,-4%,-2%,2%,8%,KEEP
INTR_153QH_COMP_CNT,22.1,22.4,19.7,23.9,1,Tentative,INTR,0,2%,-1%,-2%,0%,2%,0%,-2%,2%,DROP
BJ_UT15_TRY_15IGO_COMP_CNT_1YR,22.5,22.4,21.4,23.5,1,Tentative,BJ,0,2%,-1%,-1%,1%,0%,1%,-2%,2%,DROP
OI_SVCS_DELIVERY_COMP_YIELD_C,22.3,22.4,20.3,25.0,1,Tentative,PIPE COMP,3,-5%,-3%,-7%,16%,4%,-2%,-6%,16%,KEEP
PAG_BNDS_COMP_CNT_60DAYS,22.7,22.4,20.7,25.1,1,Tentative,WEB,4,0%,-1%,-1%,1%,1%,1%,-1%,1%,DROP
ON_PRM_APP_DEV_20J3T_LEAD_COMP_SUM_C,22.2,22.3,20.7,24.2,1,Tentative,PIPE COMP,3,-4%,-3%,-5%,14%,1%,-1%,-4%,14%,KEEP
GBS_10J00_COMP_YIELD_C,22.5,22.3,20.6,25.0,1,Tentative,PIPE COMP,2,-6%,-5%,-9%,22%,6%,-2%,-8%,22%,KEEP
WATSONHEALTH_10L00_LEAD_COMP_SUM_C,22.4,22.3,21.0,23.5,1,Tentative,PIPE COMP,4,-2%,-1%,-3%,-1%,0%,34%,-3%,34%,KEEP
CHANNEL_TYPE_CONT_SYND,22.2,22.2,20.5,23.7,1,Tentative,CHANNEL NAME / TYPE,CAT,-2%,3%,-2%,0%,0%,3%,2%,3%,DROP
GARS_20H03_WON_DTL_REVN_COMP_SUM_C_FLG,22.2,22.2,20.2,24.0,1,Confirmed,FLG,FLG,-2%,-2%,2%,2%,4%,0%,-2%,4%,DROP
BJ_UT20_TRY_20A0O_COMP_CNT_1YR,22.0,22.1,20.7,23.2,1,Tentative,BJ,0,2%,-2%,-1%,1%,2%,0%,-2%,2%,DROP
ALL_WON_DTL_REVN_INDIV_SUM_I,21.9,22.1,19.0,24.5,1,Tentative,PIPE INDIV,4,-2%,-2%,0%,6%,0%,-1%,-3%,6%,KEEP
IND_SCORE_NEW_N1,21.9,22.1,20.6,22.9,1,Tentative,OTHER,CAT,8%,5%,-5%,-5%,-3%,0%,0%,8%,KEEP
UT10_CODE_G0000,22.5,22.0,20.7,24.8,1,Tentative,LAST TOUCH,1,3%,-1%,2%,-2%,2%,-2%,-2%,3%,DROP
INTR_20GKU_COMP_CNT,21.5,22.0,18.0,24.5,1,Tentative,INTR,1,2%,0%,-3%,1%,2%,1%,-1%,3%,DROP
STOR_HYB_CLD_20COP_WON_DTL_REVN_COMP_SUM_C,21.8,22.0,20.4,22.7,1,Tentative,PIPE COMP,3,-4%,-4%,5%,4%,1%,-1%,-4%,5%,KEEP
DATABASE_20A0M_LEAD_COMP_SUM_C,21.9,22.0,21.1,23.1,1,Tentative,PIPE COMP,2,5%,-4%,-2%,2%,1%,-1%,-5%,5%,DROP
SECURITY_10N00_WON_DTL_REVN_COMP_SUM_C,22.2,22.0,20.3,24.4,1,Tentative,PIPE COMP,3,-2%,-3%,-2%,4%,0%,-1%,2%,4%,DROP
ALL_OTHER_UT20_15ANP_WON_DTL_REVN_COMP_SUM_C,22.3,22.0,21.4,23.6,1,Tentative,PIPE COMP,1,1%,-2%,-2%,3%,0%,-1%,-3%,3%,DROP
STOR_CYBER_RES_20CSN_LEAD_COMP_SUM_C,22.0,21.9,19.9,24.0,1,Tentative,PIPE COMP,3,-5%,-5%,11%,2%,1%,-2%,-6%,11%,KEEP
CLD_APP_DEV_20J2W_LEAD_COMP_SUM_C,22.3,21.8,20.6,24.0,1,Tentative,PIPE COMP,1,-3%,-3%,-5%,13%,0%,-1%,-4%,13%,KEEP
STORAGE_15STT_LEAD_INDIV_SUM_I_FLG,21.7,21.8,16.8,23.9,1,Confirmed,FLG,FLG,-5%,-4%,15%,-2%,-1%,-1%,-4%,15%,KEEP
CLOUDPLATFORMSVCS_10A00_WON_DTL_REVN_COMP_SUM_C,21.7,21.7,20.5,22.3,1,Tentative,PIPE COMP,2,2%,-3%,-2%,5%,1%,-1%,-5%,5%,DROP
PAG_WEVNT_COMP_CNT_60DAYS,21.3,21.7,18.3,23.0,1,Tentative,WEB,4,0%,-1%,-1%,2%,1%,1%,-2%,2%,DROP
WAT_GOVT_20B0E_LEAD_COMP_SUM_C_FLG,21.5,21.7,19.0,23.6,1,Confirmed,FLG,FLG,1%,-1%,0%,-1%,0%,6%,-1%,6%,DROP
PARENT_ASSET_BUYERS_JOURNEY_TRY,21.6,21.6,20.4,22.8,1,Tentative,PARENT_ASSET_BUYERS_JOURNEY,CAT,7%,0%,0%,-4%,-2%,0%,-3%,7%,KEEP
MOBILE_SEC_20B12_LEAD_COMP_SUM_C,21.9,21.6,20.9,23.6,1,Tentative,PIPE COMP,3,-7%,-3%,-7%,-6%,-1%,0%,29%,29%,KEEP
ALL_OTHER_UT15_COMP_YIELD_C,21.0,21.6,18.6,22.7,1,Tentative,PIPE COMP,1,0%,-2%,-2%,5%,2%,-1%,-3%,5%,DROP
OI_DIGITAL_COVERAGE_SALES_COMP_YIELD_C,21.9,21.5,20.1,24.2,1,Tentative,PIPE COMP,3,-1%,5%,-3%,0%,3%,0%,-2%,5%,DROP
IBM_GBL_IMT_DSCR_OTHER,21.3,21.4,19.9,22.9,1,Tentative,GEO,CAT,0%,-7%,5%,8%,-4%,-5%,-7%,8%,DROP
PAG_CSTRS_COMP_CNT_1YR,21.6,21.3,19.5,25.7,1,Tentative,WEB,4,1%,-1%,-2%,3%,1%,1%,-3%,3%,DROP
CLOUDPLATFORMSVCS_10A00_WON_DTL_REVN_INDIV_SUM_I,21.2,21.2,20.0,22.3,1,Tentative,PIPE INDIV,4,7%,-2%,-2%,-1%,-1%,-1%,-3%,7%,KEEP
PER_MKTG_20B2L_LEAD_COMP_SUM_C_FLG,21.0,21.2,19.7,23.0,1,Confirmed,FLG,FLG,0%,0%,-1%,1%,2%,0%,-2%,2%,DROP
CLD_INTR_DEV_20A0W_COMP_YIELD_C,21.1,21.1,19.7,21.8,1,Tentative,PIPE COMP,1,4%,-4%,-2%,5%,2%,-2%,-6%,6%,DROP
LDR_LEAD_INDIV_SUM_I_FLG,20.9,21.1,19.1,22.0,1,Confirmed,FLG,FLG,6%,2%,-2%,-7%,-4%,-2%,4%,7%,DROP
OI_BP_WON_LEAD_COMP_SUM_C,21.0,21.0,18.1,24.1,1,Tentative,PIPE COMP,3,0%,-4%,1%,5%,2%,-1%,-6%,6%,DROP
MAINFRM_SW_15MFT_WON_DTL_REVN_COMP_SUM_C,21.0,20.9,19.6,22.0,1,Tentative,PIPE COMP,3,-1%,-2%,2%,3%,1%,-1%,-3%,3%,DROP
ALL_INDIV_YIELD_I,20.6,20.9,18.6,22.3,1,Tentative,PIPE INDIV,4,0%,-2%,-1%,2%,-1%,-1%,1%,2%,DROP
PAG_UT15_BNDS_15IGO_COMP_CNT_1YR,20.9,20.9,19.5,23.9,1,Tentative,WEB,4,1%,-1%,-1%,1%,0%,1%,-1%,1%,DROP
BUS_AREA_NAME_BIN_A,20.8,20.8,18.9,22.1,1,Tentative,BUS_AREA_NAME,CAT,4%,3%,-4%,-1%,-4%,0%,1%,4%,KEEP
CHN_NM_EV_INDIV_CNT_1YR,21.0,20.8,19.3,22.7,1,Tentative,CHANNEL,0,2%,-3%,0%,2%,1%,-2%,-2%,3%,DROP
TYPE_FLG_NULL_ASSET,20.6,20.7,19.2,21.4,1,Tentative,OTHER,CAT,6%,3%,-2%,-3%,-5%,-1%,-1%,6%,DROP
COGAPP_10B00_WON_DTL_REVN_COMP_SUM_C,20.5,20.7,19.6,21.3,1,Tentative,PIPE COMP,2,-1%,5%,-3%,3%,1%,-1%,-4%,5%,KEEP
B2B_COLLAB_20B2P_WON_DTL_REVN_COMP_SUM_C,20.2,20.7,17.2,23.0,1,Tentative,PIPE COMP,1,0%,3%,-1%,1%,0%,-1%,-2%,3%,DROP
PROGRAM_NAME_BIN_MED,21.1,20.7,19.2,23.5,1,Tentative,OTHER,CAT,0%,3%,-3%,2%,0%,2%,-2%,3%,DROP
OO_TS_WON_DTL_REVN_COMP_SUM_C,20.2,20.6,16.8,22.5,1,Tentative,PIPE COMP,3,-2%,-3%,2%,5%,0%,-2%,-3%,5%,DROP
OI_MARKETING_WON_DTL_REVN_COMP_SUM_C,20.6,20.6,19.8,21.3,1,Tentative,PIPE COMP,3,-1%,-1%,1%,3%,1%,0%,-4%,4%,DROP
STOR_ZSYS_20C9O_WON_DTL_REVN_COMP_SUM_C,20.0,20.6,12.9,23.1,1,Tentative,PIPE COMP,4,-1%,-3%,3%,2%,1%,-1%,-3%,3%,DROP
STOR_HYB_CLD_20COP_COMP_YIELD_C,20.5,20.5,18.9,21.5,1,Tentative,PIPE COMP,3,-7%,-6%,12%,4%,3%,-2%,-7%,12%,DROP
ALL_OTHER_UT20_15ANP_COMP_YIELD_C,20.3,20.4,18.8,21.0,1,Tentative,PIPE COMP,1,3%,-3%,-2%,3%,1%,-1%,-4%,4%,DROP
MOBILE_SEC_20B12_WON_DTL_REVN_COMP_SUM_C,20.2,20.4,18.6,21.1,1,Tentative,PIPE COMP,3,-3%,-1%,-3%,-2%,0%,1%,10%,10%,DROP
BUS_AREA_NAME_NULL,20.1,20.4,17.8,23.7,1,Tentative,BUS_AREA_NAME,CAT,-3%,-1%,-1%,7%,0%,0%,-3%,7%,DROP
UT_LVL_10_CD_INTENT_NEW_10A00,20.3,20.4,18.8,21.7,1,Tentative,LAST TOUCH UT,CAT,7%,-3%,1%,-3%,-2%,1%,-4%,7%,KEEP
GBS_10J00_WON_DTL_REVN_INDIV_SUM_I_FLG,20.3,20.3,17.4,21.8,1,Confirmed,FLG,FLG,-3%,-2%,-4%,12%,-1%,-1%,-3%,12%,DROP
CLOUDPLATFORMSVCS_10A00_INDIV_YIELD_I,20.3,20.3,19.5,21.0,1,Tentative,PIPE INDIV,4,10%,-2%,-3%,-2%,-1%,-1%,-4%,10%,KEEP
REGULATORY_20AU4_WON_DTL_REVN_COMP_SUM_C,20.3,20.2,18.6,22.1,1,Tentative,PIPE COMP,3,1%,-2%,-2%,3%,0%,-1%,-2%,3%,DROP
OO_TC_COMP_YIELD_C,20.0,20.2,18.7,21.1,1,Tentative,PIPE COMP,3,1%,-1%,-1%,-1%,1%,0%,1%,1%,DROP
INTR_20BEQ_COMP_CNT,20.6,20.2,18.0,23.8,1,Tentative,INTR,1,2%,0%,-2%,-1%,2%,1%,0%,2%,DROP
OI_DIGITAL_BRAND_SALES_COMP_YIELD_C,20.4,20.2,18.7,22.9,1,Tentative,PIPE COMP,3,-4%,3%,-7%,6%,1%,-2%,4%,7%,DROP
ENTR_STRAT_20J09_LEAD_COMP_SUM_C,20.1,20.2,18.8,21.2,1,Tentative,PIPE COMP,2,-3%,-2%,-6%,12%,1%,-1%,-4%,12%,DROP
PAG_UT15_TRLS_15IGO_COMP_CNT_1YR,20.9,20.1,18.7,26.6,1,Tentative,WEB,4,0%,-3%,0%,2%,1%,0%,-2%,3%,DROP
SEC_SVC_15STS_LEAD_COMP_SUM_C,20.3,20.1,19.2,22.7,1,Tentative,PIPE COMP,3,-3%,-3%,-6%,8%,1%,-1%,4%,8%,DROP
JOB_CTGY_CD_C_LEVEL,19.9,20.0,18.3,21.2,1,Tentative,OTHER,CAT,0%,2%,-4%,0%,-1%,1%,3%,4%,KEEP
CHN_T_F2F_INDIV_CNT_1YR,19.9,19.9,17.4,22.6,1,Tentative,CHANNEL,0,1%,-3%,0%,3%,2%,-2%,-3%,3%,DROP
CLD_PLATF_20A0X_LEAD_INDIV_SUM_I_FLG,20.0,19.9,19.2,20.9,1,Confirmed,FLG,FLG,5%,-1%,-1%,-1%,-1%,-1%,-2%,5%,DROP
JOB_FUNCTION_BIN_A,19.6,19.9,18.0,20.7,1,Tentative,JOB_FUNCTION,CAT,-5%,-3%,4%,1%,0%,-1%,3%,5%,KEEP
IND_SCORE_NEW_E1,19.1,19.7,16.4,20.5,1,Tentative,OTHER,CAT,3%,0%,0%,0%,-3%,-1%,-1%,3%,DROP
INTR_20A0V_COMP_CNT,19.7,19.6,17.5,21.2,1,Tentative,INTR,0,2%,1%,-3%,0%,1%,2%,-1%,3%,DROP
INTR_20A0Y_COMP_CNT,19.5,19.6,17.3,21.0,1,Tentative,INTR,0,2%,-1%,-1%,0%,1%,0%,-1%,2%,DROP
UT_LVL_10_CD_INTENT_NEW_10N00,19.2,19.5,16.8,20.2,1,Tentative,LAST TOUCH UT,CAT,-4%,-2%,-3%,-2%,-1%,0%,13%,13%,KEEP
SECURITY_10N00_COMP_YIELD_C,19.4,19.5,18.1,20.4,1,Tentative,PIPE COMP,3,-7%,-6%,-7%,0%,3%,-1%,20%,20%,KEEP
CLD_MDRN_20JMW_LEAD_COMP_SUM_C,19.5,19.5,17.9,20.3,1,Tentative,PIPE COMP,1,-3%,-3%,-5%,13%,0%,-1%,-4%,13%,KEEP
BJ_DIS_COMP_CNT_1YR,20.1,19.4,17.5,23.8,1,Tentative,BJ,0,1%,-1%,-2%,2%,1%,1%,-3%,3%,DROP
CHN_T_F2F_COMP_CNT_60DAYS,19.6,19.4,16.2,24.7,1,Tentative,CHANNEL,0,1%,-3%,-1%,4%,3%,-1%,-3%,4%,DROP
TYPE_FLG_EVENT,18.9,19.3,14.9,20.5,1,Tentative,OTHER,CAT,1%,-2%,-1%,3%,-1%,-1%,-1%,3%,DROP
INTR_20B2O_COMP_CNT,19.2,19.3,16.9,20.9,1,Tentative,INTR,1,2%,2%,-2%,0%,1%,0%,-2%,2%,DROP
PAG_UT15_WPNAR_153QH_COMP_CNT_1YR,19.4,19.3,18.2,20.7,1,Tentative,WEB,4,1%,-1%,-1%,1%,2%,1%,-2%,2%,DROP
OI_DIGITAL_COVERAGE_SALES_WON_LEAD_COMP_SUM_C,19.4,19.2,17.2,21.8,1,Tentative,PIPE COMP,3,-1%,3%,-2%,2%,2%,-1%,-3%,3%,DROP
CLIENT_FIN_20H01_WON_DTL_REVN_COMP_SUM_C,19.1,19.2,17.4,20.8,1,Tentative,PIPE COMP,2,-2%,-2%,-1%,6%,3%,-1%,-3%,6%,DROP
PROGRAM_NAME_BIN_HI,19.2,19.2,18.2,20.2,1,Tentative,OTHER,CAT,-3%,2%,-2%,1%,-2%,-1%,5%,5%,KEEP
JOB_CTGY_CD_PROFESSIONAL,19.2,19.1,16.6,21.7,1,Tentative,OTHER,CAT,1%,-3%,4%,0%,1%,-1%,-3%,4%,KEEP
SEC_THREAT_MGMT_20NYE_WON_DTL_REVN_COMP_SUM_C,18.5,19.1,13.5,21.8,1,Tentative,PIPE COMP,3,-2%,-2%,-1%,2%,0%,-1%,3%,3%,DROP
UT_LVL_10_CD_INTENT_NEW_10C00,18.8,19.1,15.9,20.2,1,Tentative,LAST TOUCH UT,CAT,-5%,-2%,10%,-1%,-1%,0%,-2%,10%,KEEP
INTR_20B2M_COMP_CNT,19.6,19.1,18.1,21.4,1,Tentative,INTR,1,1%,0%,-2%,0%,1%,2%,-1%,2%,DROP
Z_TRANS_INTGR_20C03_WON_DTL_REVN_COMP_SUM_C,19.0,19.0,18.1,20.1,1,Tentative,PIPE COMP,4,0%,-2%,2%,1%,1%,-1%,-3%,3%,DROP
CHN_NM_DI_EOPEN_INDIV_CNT_60DAYS,19.0,19.0,16.6,20.8,1,Tentative,CHANNEL,0,-2%,-3%,1%,3%,4%,-2%,-2%,4%,DROP
CLD_INTR_DEV_20A0W_WON_DTL_REVN_COMP_SUM_C,19.5,19.0,18.1,21.1,1,Tentative,PIPE COMP,1,2%,-2%,-1%,3%,0%,-1%,-4%,4%,DROP
UT_LVL_30_CD_INTENT_NEW_OTHER,18.9,19.0,17.6,20.1,1,Tentative,LAST TOUCH UT,CAT,1%,0%,1%,-1%,-1%,0%,0%,1%,DROP
UT_LVL_20_CD_INTENT_NEW_OTHER,18.4,19.0,15.7,21.0,1,Tentative,LAST TOUCH UT,CAT,-1%,0%,4%,-1%,-1%,0%,-1%,4%,DROP
ID_MGMT_20B14_WON_DTL_REVN_COMP_SUM_C,19.0,19.0,16.8,20.8,1,Tentative,PIPE COMP,2,0%,-2%,0%,2%,0%,-1%,-1%,2%,DROP
COG_SYS_15PHW_WON_DTL_REVN_COMP_SUM_C,19.3,18.9,16.1,22.7,1,Tentative,PIPE COMP,2,-2%,-2%,4%,3%,1%,0%,-4%,4%,DROP
APP_MGMT_ON_PRM_20JDQ_COMP_YIELD_C,18.7,18.8,17.3,20.1,1,Tentative,PIPE COMP,1,-4%,-4%,-7%,17%,3%,-2%,-6%,17%,DROP
CLD_PLATF_20A0X_COMP_YIELD_C,18.9,18.7,17.8,19.8,1,Tentative,PIPE COMP,1,3%,-4%,-2%,5%,3%,-2%,-5%,5%,DROP
CLD_MGMT_20APO_WON_DTL_REVN_COMP_SUM_C,18.6,18.7,17.4,19.6,1,Tentative,PIPE COMP,1,0%,-2%,-2%,5%,1%,-1%,-3%,5%,DROP
GBS_10J00_WON_LEAD_INDIV_SUM_I_FLG,18.7,18.6,17.3,19.8,1,Confirmed,FLG,FLG,-3%,-2%,-4%,12%,-1%,-1%,-3%,12%,DROP
PUB_CLOUD_153QH_COMP_YIELD_C,18.5,18.6,18.2,18.8,1,Tentative,PIPE COMP,3,8%,-3%,-7%,4%,3%,-2%,-6%,8%,DROP
TLNT_ASSESSMENT_20B1Q_COMP_YIELD_C,18.3,18.6,16.9,19.1,1,Tentative,PIPE COMP,4,-1%,11%,-3%,-2%,0%,1%,-1%,11%,DROP
PARENT_ASSET_BUYERS_JOURNEY_NULL,18.6,18.6,17.6,19.9,1,Tentative,PARENT_ASSET_BUYERS_JOURNEY,CAT,-2%,-1%,0%,3%,1%,-1%,0%,3%,DROP
PARENT_ASSET_BUYERS_JOURNEY_LEARN,18.9,18.5,17.3,21.1,1,Tentative,PARENT_ASSET_BUYERS_JOURNEY,CAT,-2%,2%,-1%,-1%,0%,2%,4%,4%,KEEP
FIN_SUPPLY_CHAIN_TRNS_20J06_LEAD_COMP_SUM_C,18.4,18.5,16.4,19.6,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,13%,0%,-1%,-4%,13%,KEEP
UT_LVL_15_CD_INTENT_NEW_BIN_B,18.3,18.4,16.0,19.6,1,Tentative,LAST TOUCH UT,CAT,-1%,3%,1%,-1%,0%,0%,0%,3%,DROP
DB_ZOS_20AYJ_LEAD_COMP_SUM_C,18.2,18.3,17.0,19.4,1,Tentative,PIPE COMP,2,0%,-2%,2%,1%,1%,-1%,-3%,3%,DROP
DATA_SEC_20B15_WON_DTL_REVN_COMP_SUM_C,18.6,18.3,17.2,19.9,1,Tentative,PIPE COMP,2,0%,-2%,0%,2%,0%,-1%,0%,2%,DROP
DATA_TECH_TRNS_20J05_WON_DTL_REVN_COMP_SUM_C,18.2,18.3,15.5,19.8,1,Tentative,PIPE COMP,2,-3%,-1%,-4%,10%,0%,-1%,-4%,10%,DROP
COG_PROC_SVC_BPO_20J07_LEAD_COMP_SUM_C,17.8,18.3,16.0,19.0,1,Tentative,PIPE COMP,2,-3%,-2%,-6%,12%,1%,-1%,-4%,12%,KEEP
CUST_TRNS_20J10_LEAD_COMP_SUM_C,18.3,18.2,17.1,19.9,1,Tentative,PIPE COMP,2,-4%,-3%,-6%,15%,2%,-1%,-5%,15%,KEEP
BJ_UT10_LRN_GTS_COMP_CNT_1YR,18.4,18.2,14.8,22.0,1,Tentative,BJ,0,1%,-1%,-2%,3%,0%,1%,-2%,3%,DROP
INFR_SVC_15ISS_COMP_YIELD_C,17.8,18.2,15.3,19.2,1,Tentative,PIPE COMP,3,-1%,-3%,-6%,9%,3%,-2%,-3%,9%,DROP
IBM_GBL_IOT_DSCR_JAPAN,17.9,18.1,15.8,19.4,1,Tentative,GEO,CAT,1%,-3%,0%,4%,5%,-1%,-6%,6%,KEEP
CHANNEL_TYPE_F2F_OTH,18.2,18.1,16.6,20.4,1,Tentative,CHANNEL NAME / TYPE,CAT,1%,0%,-2%,2%,-1%,-1%,-1%,2%,DROP
OO_TS_LEAD_COMP_SUM_C,18.1,18.1,16.8,19.6,1,Tentative,PIPE COMP,3,-5%,-5%,1%,12%,-2%,-2%,-4%,12%,DROP
UT20_OFFER_20A0M_COMP_CNT_1YR,18.6,18.1,15.5,23.2,1,Tentative,OFFER,1,2%,-2%,1%,1%,1%,0%,-4%,4%,DROP
PUB_CLOUD_153QH_WON_DTL_REVN_COMP_SUM_C,18.1,18.1,16.9,18.6,1,Tentative,PIPE COMP,3,4%,-2%,-4%,3%,1%,-1%,-3%,4%,DROP
REGULATORY_20AU4_COMP_YIELD_C,18.3,18.1,17.0,20.3,1,Tentative,PIPE COMP,3,2%,-2%,-2%,3%,0%,-1%,-2%,3%,DROP
IBM_GBL_IOT_DSCR_EMEA,17.8,18.0,15.6,20.1,1,Tentative,GEO,CAT,-2%,-4%,5%,5%,-1%,-4%,-6%,6%,KEEP
TLNT_DEV_20B0U_WON_DTL_REVN_COMP_SUM_C,18.0,18.0,16.0,20.2,1,Tentative,PIPE COMP,4,-1%,1%,-2%,3%,1%,0%,-2%,3%,DROP
INTR_10CDP_INDIV_CNT,18.0,18.0,16.0,19.8,1,Tentative,INTR,0,2%,0%,-2%,-1%,1%,0%,0%,2%,DROP
COG_SYS_15PHW_LEAD_INDIV_SUM_I_FLG,17.8,18.0,15.9,19.6,1,Confirmed,FLG,FLG,-4%,-3%,11%,-1%,-1%,-1%,-3%,11%,KEEP
S1_CLIENT_TEAMS_S1,17.6,17.9,12.8,20.6,1,Tentative,OTHER,CAT,0%,-2%,-3%,7%,-2%,-1%,-2%,7%,KEEP
CHN_NM_EV_INDIV_CNT_60DAYS,17.4,17.8,14.7,18.1,1,Tentative,CHANNEL,0,0%,-3%,1%,2%,0%,-2%,-2%,3%,DROP
BJ_BUY_COMP_CNT_1YR,17.5,17.8,12.7,20.8,1,Tentative,BJ,0,-1%,-4%,4%,3%,1%,-1%,-4%,4%,KEEP
UT_LVL_15_CD_INTENT_NEW_BIN_C,17.9,17.7,17.1,19.5,1,Tentative,LAST TOUCH UT,CAT,7%,-3%,2%,-3%,-2%,1%,-5%,7%,KEEP
ALL_OTHER_UT20_15ISS_COMP_YIELD_C,17.4,17.5,15.3,19.8,1,Tentative,PIPE COMP,1,-1%,0%,-3%,4%,2%,-1%,-1%,4%,DROP
UT_LVL_10_CD_INTENT_NEW_NULL,17.3,17.4,15.7,19.1,1,Tentative,LAST TOUCH UT,CAT,0%,1%,-3%,3%,2%,-2%,-2%,3%,DROP
ON_PRM_APP_DEV_20J3T_WON_DTL_REVN_COMP_SUM_C,17.9,17.3,16.4,21.3,1,Tentative,PIPE COMP,3,-3%,-3%,-4%,11%,1%,-1%,-3%,11%,DROP
INF_AAS_20GAA_WON_DTL_REVN_COMP_SUM_C,17.6,17.2,16.0,20.1,1,Tentative,PIPE COMP,3,0%,-2%,-4%,6%,1%,-1%,-1%,6%,DROP
ALL_OTHER_UT20_15PHW_LEAD_COMP_SUM_C_FLG,17.1,17.2,15.1,19.6,1,Confirmed,FLG,FLG,-1%,-2%,4%,2%,0%,-1%,-3%,4%,DROP
GBS_10J00_INDIV_YIELD_I,17.1,17.2,14.7,19.0,1,Tentative,PIPE INDIV,4,-3%,-2%,-4%,11%,0%,-1%,-3%,11%,DROP
MAINFRM_HW_15MHW_LEAD_COMP_SUM_C,17.6,17.1,15.9,20.9,1,Tentative,PIPE COMP,3,-1%,-3%,4%,3%,1%,-1%,-5%,5%,DROP
TLNT_ACQ_20B0T_WON_DTL_REVN_COMP_SUM_C,17.0,17.1,15.5,18.7,1,Tentative,PIPE COMP,4,0%,4%,-1%,0%,1%,0%,-2%,4%,DROP
COMP_INST_FLG_SAP,17.1,17.0,15.3,18.9,1,Tentative,COMP INST,0,-1%,1%,-3%,3%,1%,1%,0%,3%,KEEP
UT20_OFFER_20A0Y_COMP_CNT_1YR,16.9,17.0,14.8,18.6,1,Tentative,OFFER,1,1%,-1%,-2%,2%,1%,1%,-2%,2%,DROP
UT10_CODE_10B00,17.1,17.0,16.3,19.3,1,Tentative,LAST TOUCH,1,1%,8%,-2%,-3%,0%,-1%,-2%,8%,KEEP
INTR_MISC_COMP_CNT,16.9,17.0,15.1,18.5,1,Tentative,INTR,0,2%,1%,-2%,-1%,1%,2%,-1%,2%,DROP
AI_APP_15ITT_COMP_YIELD_C,16.6,17.0,14.8,17.9,1,Tentative,PIPE COMP,1,-2%,15%,-5%,1%,2%,-1%,-6%,15%,KEEP
INTR_20B0E_COMP_CNT,17.0,16.9,14.6,19.6,1,Tentative,INTR,1,2%,1%,-2%,-1%,1%,3%,-1%,3%,DROP
INTR_20C07_COMP_CNT,16.6,16.9,14.0,17.9,1,Tentative,INTR,1,0%,-2%,2%,1%,2%,-1%,-3%,3%,DROP
ASSET_MGMT_20B1A_WON_DTL_REVN_COMP_SUM_C,16.6,16.8,14.3,19.0,1,Tentative,PIPE COMP,1,-1%,5%,-4%,3%,1%,0%,-3%,5%,DROP
BUS_TRANS_15CPT_INDIV_YIELD_I,16.2,16.8,11.8,18.5,1,Tentative,PIPE INDIV,4,-3%,-1%,-4%,10%,0%,-1%,-3%,10%,KEEP
MOBILE_SEC_20B12_COMP_YIELD_C,16.6,16.8,15.7,18.0,1,Tentative,PIPE COMP,3,-7%,-3%,-6%,-6%,-1%,0%,27%,27%,DROP
ALL_OTHER_UT20_15IGO_COMP_YIELD_C,16.8,16.7,15.3,17.8,1,Tentative,PIPE COMP,1,0%,-1%,-1%,2%,1%,-1%,-2%,2%,DROP
ON_PRM_MDRN_20JVJ_LEAD_COMP_SUM_C,16.6,16.6,14.8,18.1,1,Tentative,PIPE COMP,3,-3%,-3%,-5%,13%,1%,-1%,-4%,13%,KEEP
HYBRID_CLOUD_15CAI_COMP_YIELD_C,16.3,16.6,13.8,18.9,1,Tentative,PIPE COMP,2,-5%,-5%,-9%,20%,5%,-2%,-7%,20%,KEEP
ZTPS_OPS_20C0T_COMP_YIELD_C,16.7,16.5,13.7,18.5,1,Tentative,PIPE COMP,4,0%,-2%,0%,3%,1%,-1%,-2%,3%,DROP
INTR_20C0M_COMP_CNT,15.8,16.5,12.2,17.2,1,Tentative,INTR,1,0%,-2%,1%,0%,1%,0%,-1%,2%,DROP
UT15_OFFER_15IGO_COMP_CNT_60DAYS,16.7,16.5,14.7,18.7,1,Tentative,OFFER,1,2%,-1%,-1%,1%,1%,0%,-2%,2%,DROP
SEC_RES_PRJ_SVC_20GWT_WON_DTL_REVN_COMP_SUM_C,16.3,16.5,11.5,19.7,1,Tentative,PIPE COMP,3,-1%,-2%,-4%,6%,1%,-1%,0%,6%,DROP
OI_CLIENT_REP_LEAD_INDIV_SUM_I_FLG,16.5,16.5,14.5,18.3,1,Confirmed,FLG,FLG,0%,-2%,-1%,5%,-1%,-2%,-3%,5%,DROP
